,Processed Title,Success,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean
The Horse Whisperer,"Horse-Whisperer,-The",1,38.86919773703225,0.7670935230744429,2.0,1.6230866082475366,-0.5961305694292987,0.14164240040249246
Coraline,Coraline,1,57.610689022792776,-1.373736829172778,1.8,-1.8733435227985549,-0.6640981975000702,-0.7327279692186
Hellboy,Hellboy,1,33.829678735339115,-0.9790313848661965,1.8,-0.8647579080737209,-0.5961305694292987,-0.7963185415546794
ParaNorman,ParaNorman,1,48.21676090735078,1.0302304859454974,3.0,0.2514101722217622,-0.6187864454528892,0.6662646221751479
The Boxtrolls,"Boxtrolls,-The",1,28.246802106847248,-1.287648810455705,2.0,-1.2547443457673233,-0.7320658255708418,-0.47836567987428213
Year One,Year-One,0,51.7613951182526,1.7205589379220292,2.6,1.3003392115355896,-0.36957180919339366,1.4293514902081013
Star Trek: Nemesis,Star-Trek-Nemesis,1,40.10036719706242,0.4259900526860389,4.6,0.34554482959608007,-0.7094099495472512,-0.3670821782861431
Invictus,Invictus,1,52.139144342263094,-0.9757827803863068,3.4,-0.878205716270052,-0.7094099495472512,-1.0188855447309575
Intolerable Cruelty,Intolerable-Cruelty,1,50.75825384241618,0.08326228005769021,2.8,-0.1923674982571648,-0.39222768521698415,0.8331898745573565
The Relic,"Relic,-The",0,21.992158126544204,0.3967526123670329,2.8,0.5741575689337092,-0.5961305694292987,-0.3432357136601133
Analyze That,Analyze-That,0,41.18499364704309,0.203460645813604,1.6,0.049693049276795395,1.2843071405287132,-0.6850350399665404
Priest,Priest,1,37.25091412622515,1.2511355905779875,3.2,1.1389655131796161,-0.5055070653349367,0.5072881913349493
Event Horizon,Event-Horizon,0,38.48364020171221,-0.38778536952629616,2.8,-0.6226973605397607,-0.2789483050990316,0.39600468974681025
The Black Dahlia,"Black-Dahlia,-The",0,36.86156344830535,1.5370127848082689,3.2,0.6413966099153647,0.21948096741995946,-0.09682224585780545
Deadpool,Deadpool,1,43.14358538657604,0.6225306237193574,2.2,-0.11168064907917806,0.514007355726636,-0.8360626492647291
American Sniper,American-Sniper,1,52.08680516979595,-0.6330550077579581,1.8,-0.6361451687360917,0.3554162235615025,-0.8678579354327688
Sex and the City,Sex-and-the-City,1,45.93271290479362,0.8889161910703014,2.0,1.2734435951429275,-0.21098067702826012,0.22113061582259178
Devil's Advocate,Devil's-Advocate,1,44.34081727000461,0.6371493438788604,2.0,0.34554482959608007,0.3554162235615025,-0.10477106739981538
Into the Woods,Into-the-Woods,1,44.03346543372963,-1.2519141611769196,0.6,-0.663040785128754,-0.7320658255708418,-0.22400339052996435
The Pacifier,"Pacifier,-The",1,61.32918920993055,-0.7906123250326018,2.0,-0.8378622916810586,-0.6867540735236607,-0.3988774644541828
Walking Tall,Walking-Tall,0,37.919149852803905,-1.602763445004992,1.8,-2.021269412958197,-0.6414423214764797,-0.7645232553866397
Forrest Gump,Forrest-Gump,1,75.33805366269166,-1.0699923103031042,4.8,-2.101956262136184,-0.46019531328775565,0.06215418498239316
Date Night,Date-Night,1,49.50036305798553,0.9798771165072092,2.6,0.6951878427006892,-0.36957180919339366,1.5326861702542303
Alien 3,Alien-3,1,41.143760562612435,-0.16525596265386122,2.4,0.33209702139974895,-0.3469159331698031,-0.7088815045925702
Ronin,Ronin,1,33.86433233319929,-0.4819948994430934,2.4,0.4262316787740668,0.17416921537277844,-0.32733807057609343
Burlesque,Burlesque,1,39.08705556676952,2.5635718004533703,2.2,2.6989112639540265,0.12885746332559744,2.041410748942866
The Ghost and the Darkness,"Ghost-and-the-Darkness,-The",0,35.208235844642026,-0.8604573213502273,3.2,-0.878205716270052,-0.6867540735236607,0.6424181575491181
