,Original Title,Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($)
383,Aladdin,Aladdin,"Nov 11, 1992",28000000,217350219,504050219
384,Indiana Jones and the Temple of Doom,Indiana-Jones-and-the-Temple-of-Doom,"May 23, 1984",28000000,179880271,333080271
385,Straight Outta Compton,Straight-Outta-Compton,"Aug 14, 2015",28000000,161197785,202182981
386,Die Hard,Die-Hard,"Jul 15, 1988",28000000,81350242,139109346
387,Dawn of the Dead,Dawn-of-the-Dead,"Mar 19, 2004",28000000,58990765,103452875
388,30 Minutes or Less,30-Minutes-or-Less,"Aug 12, 2011",28000000,37053924,40966716
389,Blade Runner,Blade-Runner,"Jun 25, 1982",28000000,32656328,39342912
390,We Own the Night,We-Own-the-Night,"Oct 12, 2007",28000000,28563179,55307857
391,Kundun,Kundun,"Dec 25, 1997",28000000,5686694,5686694
392,How to Lose Friends & Alienate People,How-to-Lose-Friends-&-Alienate-People,"Oct 3, 2008",28000000,2775593,12031443
393,Knocked Up,Knocked-Up,"Jun 1, 2007",27500000,148761765,219265952
394,Anonymous,Anonymous,"Oct 28, 2011",27500000,4463292,15815509
395,Limitless,Limitless,"Mar 18, 2011",27000000,79249455,155564919
396,The Blues Brothers,"Blues-Brothers,-The","Jun 20, 1980",27000000,57229890,57229890
397,Lake Placid,Lake-Placid,"Jul 16, 1999",27000000,31770413,31770413
398,Dark City,Dark-City,"Feb 27, 1998",27000000,14435076,27257061
399,Case 39,Case-39,"Oct 1, 2010",27000000,13261851,28773827
400,Suspect Zero,Suspect-Zero,"Aug 27, 2004",27000000,8712564,8712564
401,Shakespeare in Love,Shakespeare-in-Love,"Dec 11, 1998",26000000,100317794,279500000
402,Pineapple Express,Pineapple-Express,"Aug 6, 2008",26000000,87341380,102404019
403,Philadelphia,Philadelphia,"Dec 22, 1993",26000000,77324422,201324422
404,Final Destination 2,Final-Destination-2,"Jan 31, 2003",26000000,46896664,90396664
405,Legion,Legion,"Jan 22, 2010",26000000,40168080,67647574
406,Blood and Wine,Blood-and-Wine,"Feb 21, 1997",26000000,1083350,1083350
407,The Help,"Help,-The","Aug 10, 2011",25000000,169705587,213120004
408,Gran Torino,Gran-Torino,"Dec 12, 2008",25000000,148095302,274543085
409,Schindler's List,Schindler's-List,"Dec 15, 1993",25000000,96898818,322197132
410,Freddy vs. Jason,Freddy-vs.-Jason,"Aug 15, 2003",25000000,82622655,114576403
411,No Country for Old Men,No-Country-for-Old-Men,"Nov 9, 2007",25000000,74273505,164035753
412,No Strings Attached,No-Strings-Attached,"Jan 21, 2011",25000000,70662220,149228078
413,Tombstone,Tombstone,"Dec 25, 1993",25000000,56505065,56505065
414,Scarface,Scarface,"Dec 9, 1983",25000000,44942821,44942821
415,August: Osage County,August-Osage-County,"Dec 25, 2013",25000000,37738810,50738810
416,Cradle 2 the Grave,Cradle-2-the-Grave,"Feb 28, 2003",25000000,34657731,56434942
417,The Shawshank Redemption,"Shawshank-Redemption,-The","Sep 23, 1994",25000000,28241469,28307092
418,The Losers,"Losers,-The","Apr 23, 2010",25000000,23591432,29863840
419,The Ruins,"Ruins,-The","Apr 4, 2008",25000000,17432844,22910563
420,Legend,Legend,"Apr 18, 1986",25000000,15502112,23506237
421,The Box,"Box,-The","Nov 6, 2009",25000000,15051977,26341896
422,Warrior,Warrior,"Sep 9, 2011",25000000,13657115,24215385
423,The Road,"Road,-The","Nov 25, 2009",25000000,8114270,29206732
424,Deception,Deception,"Apr 25, 2008",25000000,4598506,12850033
425,Scream 2,Scream-2,"Dec 12, 1997",24000000,101363301,172363301
426,I Still Know What You Did Last Summer,I-Still-Know-What-You-Did-Last-Summer,"Nov 13, 1998",24000000,40020622,40020622
427,The Men Who Stare at Goats,"Men-Who-Stare-at-Goats,-The","Nov 6, 2009",24000000,32428195,67348218
428,Bad Boys,Bad-Boys,"Apr 7, 1995",23000000,65647413,141247413
429,Final Destination,Final-Destination,"Mar 17, 2000",23000000,53302314,112036870
430,The Ides of March,"Ides-of-March,-The","Oct 7, 2011",23000000,40962534,77735925
431,Pitch Black,Pitch-Black,"Feb 18, 2000",23000000,39235088,53182088
432,Her,Her,"Jan 10, 2014",23000000,25568251,48259031
433,Ghost,Ghost,"Jul 13, 1990",22000000,217631306,517600000
434,Gandhi,Gandhi,"Dec 8, 1982",22000000,52767889,127767889
435,Jay and Silent Bob Strike Back,Jay-and-Silent-Bob-Strike-Back,"Aug 24, 2001",22000000,30059386,33762400
436,Silver Linings Playbook,Silver-Linings-Playbook,"Nov 16, 2012",21000000,132092958,236412453
437,Death at a Funeral,Death-at-a-Funeral,"Apr 16, 2010",21000000,42739347,48977233
438,Tinker Tailor Soldier Spy,Tinker-Tailor-Soldier-Spy,"Dec 9, 2011",21000000,24149393,81452811
439,eXistenZ,eXistenZ,"Apr 23, 1999",20700000,2840417,2840417
440,La La Land,La-La-Land,"Dec 9, 2016",20000000,151101803,426610217
441,Jaws 2,Jaws-2,"Jun 16, 1978",20000000,102922376,208900376
442,The Descendants,"Descendants,-The","Nov 16, 2011",20000000,82624961,175507800
443,Disturbia,Disturbia,"Apr 13, 2007",20000000,80818974,118537627
444,Obsessed,Obsessed,"Apr 24, 2009",20000000,68261644,73964713
445,12 Years a Slave,12-Years-a-Slave,"Oct 18, 2013",20000000,56671993,181025343
446,Edward Scissorhands,Edward-Scissorhands,"Dec 7, 1990",20000000,53976987,53976987
447,Orphan,Orphan,"Jul 24, 2009",20000000,41596251,78769428
448,The American,"American,-The","Sep 1, 2010",20000000,35606376,67950723
449,Eternal Sunshine of the Spotless Mind,Eternal-Sunshine-of-the-Spotless-Mind,"Mar 19, 2004",20000000,34366518,72570762
450,Babel,Babel,"Oct 27, 2006",20000000,34302837,132121212
451,She's Out of My League,She's-Out-of-My-League,"Mar 12, 2010",20000000,32010860,48680977
452,Milk,Milk,"Nov 26, 2008",20000000,31841299,57293371
453,The Debt,"Debt,-The","Aug 31, 2011",20000000,31177548,46604054
454,Ghost Ship,Ghost-Ship,"Oct 25, 2002",20000000,30113491,68349884
455,Wild Things,Wild-Things,"Mar 20, 1998",20000000,29795299,55576699
456,High Fidelity,High-Fidelity,"Mar 31, 2000",20000000,27277055,47881663
457,From Dusk Till Dawn,From-Dusk-Till-Dawn,"Jan 19, 1996",20000000,25728961,25732986
458,Monte Carlo,Monte-Carlo,"Jul 1, 2011",20000000,23186769,39686769
459,Psycho,Psycho,"Dec 4, 1998",20000000,21541218,37226218
460,Into the Wild,Into-the-Wild,"Sep 21, 2007",20000000,18354356,56822960
461,A Most Violent Year,A-Most-Violent-Year,"Dec 31, 2014",20000000,5749134,8846875
462,A Scanner Darkly,A-Scanner-Darkly,"Jul 7, 2006",20000000,5501616,7405084
463,Alone in the Dark,Alone-in-the-Dark,"Jan 28, 2005",20000000,5178569,10588079
464,The Brothers Bloom,"Brothers-Bloom,-The","May 15, 2009",20000000,3531756,5531756
465,"Synecdoche, New York","Synecdoche,-New-York","Oct 24, 2008",20000000,3083538,4383538
466,Equilibrium,Equilibrium,"Dec 6, 2002",20000000,1190018,5345869
467,Back to the Future,Back-to-the-Future,"Jul 3, 1985",19000000,212259762,385524784
468,Dances with Wolves,Dances-with-Wolves,"Nov 9, 1990",19000000,184208842,424200000
469,Bad Teacher,Bad-Teacher,"Jun 24, 2011",19000000,100292856,215448997
470,The Shining,"Shining,-The","May 23, 1980",19000000,44017374,44728227
471,Adaptation,Adaptation,"Dec 6, 2002",18500000,22498520,32531759
472,The Invention of Lying,"Invention-of-Lying,-The","Oct 2, 2009",18500000,18451251,32679264
473,Fear and Loathing in Las Vegas,Fear-and-Loathing-in-Las-Vegas,"May 22, 1998",18500000,10680275,13711903
474,The Mask,"Mask,-The","Jul 29, 1994",18000000,119920129,351620129
475,Big,Big,"Jun 3, 1988",18000000,114968774,151668774
476,Legally Blonde,Legally-Blonde,"Jul 13, 2001",18000000,96493426,141809235
477,Bad Santa,Bad-Santa,"Nov 26, 2003",18000000,60060328,77147031
478,Predator,Predator,"Jun 12, 1987",18000000,59735548,98267558
479,Amadeus,Amadeus,"Sep 19, 1984",18000000,51973029,51973029
480,Prom Night,Prom-Night,"Apr 11, 2008",18000000,43869350,57193655
481,Peggy Sue Got Married,Peggy-Sue-Got-Married,"Oct 10, 1986",18000000,41382841,41382841
482,Observe and Report,Observe-and-Report,"Apr 10, 2009",18000000,24007324,27148898
483,Raging Bull,Raging-Bull,"Nov 14, 1980",18000000,23380203,23380203
484,127 Hours,127-Hours,"Nov 5, 2010",18000000,18335230,60217171
485,Youth in Revolt,Youth-in-Revolt,"Jan 8, 2010",18000000,15285588,19685588
486,The Ice Storm,"Ice-Storm,-The","Sep 26, 1997",18000000,8038061,16011975
487,The Last Station,"Last-Station,-The","Jan 15, 2010",18000000,6617867,15696146
488,Dragonslayer,Dragonslayer,"Jun 26, 1981",18000000,6000000,6000000
489,Ed Wood,Ed-Wood,"Sep 30, 1994",18000000,5828466,5828466
490,RocknRolla,RocknRolla,"Oct 8, 2008",18000000,5700626,27794339
491,The Salton Sea,"Salton-Sea,-The","Apr 26, 2002",18000000,676698,676698
492,Day of the Dead,Day-of-the-Dead,"Apr 8, 2008",18000000,0,0
493,Superbad,Superbad,"Aug 17, 2007",17500000,121463226,169955142
494,Hotel Rwanda,Hotel-Rwanda,"Dec 22, 2004",17500000,23519128,36521223
495,Aliens,Aliens,"Jul 18, 1986",17000000,85160248,183316455
496,Sideways,Sideways,"Oct 22, 2004",17000000,71502303,109793192
497,Friday the 13th,Friday-the-13th,"Feb 13, 2009",17000000,65002019,92670237
498,Evil Dead,Evil-Dead,"Apr 5, 2013",17000000,54239856,97778356
499,The Hills Have Eyes,"Hills-Have-Eyes,-The","Mar 10, 2006",17000000,41778863,70355813
500,Smokin' Aces,Smokin'-Aces,"Jan 26, 2007",17000000,35662731,57263440
501,My Girl,My-Girl,"Nov 27, 1991",16500000,58011485,58011485
502,Wall Street,Wall-Street,"Dec 11, 1987",16500000,43848100,43848100
503,Sense and Sensibility,Sense-and-Sensibility,"Dec 11, 1995",16500000,42993774,134993774
504,Dead Poets Society,Dead-Poets-Society,"Jun 2, 1989",16400000,95860116,239500000
505,The Verdict,"Verdict,-The","Dec 8, 1982",16000000,53977250,53977250
506,Moonrise Kingdom,Moonrise-Kingdom,"May 25, 2012",16000000,45512466,68848446
507,The Artist,"Artist,-The","Nov 25, 2011",16000000,44667095,128256712
508,The Roommate,"Roommate,-The","Feb 4, 2011",16000000,37300107,52545707
509,Remember Me,Remember-Me,"Mar 12, 2010",16000000,19068240,56506120
510,Jennifer's Body,Jennifer's-Body,"Sep 18, 2009",16000000,16204793,31943401
511,Highlander,Highlander,"Mar 7, 1986",16000000,5900000,12900000
512,Detroit Rock City,Detroit-Rock-City,"Aug 13, 1999",16000000,4217115,5825314
513,Slither,Slither,"Mar 31, 2006",15250000,7802450,12930343
514,The King's Speech,"King's-Speech,-The","Nov 26, 2010",15000000,138797449,430821168
515,American Beauty,American-Beauty,"Sep 15, 1999",15000000,130058047,356258047
516,"Crouching Tiger, Hidden Dragon","Crouching-Tiger,-Hidden-Dragon","Dec 8, 2000",15000000,128067808,213514672
517,Twins,Twins,"Dec 9, 1988",15000000,111936388,216600000
518,Scream,Scream,"Dec 20, 1996",15000000,103046663,173046663
519,The Queen,"Queen,-The","Sep 30, 2006",15000000,56441711,128885873
520,The Deer Hunter,"Deer-Hunter,-The","Jan 1, 1979",15000000,50000000,50009253
521,When a Stranger Calls,When-a-Stranger-Calls,"Feb 3, 2006",15000000,47860214,67215435
522,Wag the Dog,Wag-the-Dog,"Dec 25, 1997",15000000,43057470,64252038
523,The Theory of Everything,"Theory-of-Everything,-The","Nov 7, 2014",15000000,35893537,123327692
524,Drive,Drive,"Sep 16, 2011",15000000,35060689,81357930
525,Malibu's Most Wanted,Malibu's-Most-Wanted,"Apr 18, 2003",15000000,34308901,34499204
526,All About Steve,All-About-Steve,"Sep 4, 2009",15000000,33862903,40127259
527,The Princess Bride,"Princess-Bride,-The","Sep 25, 1987",15000000,30857000,30859628
528,Love and Basketball,Love-and-Basketball,"Apr 21, 2000",15000000,27441122,27709625
529,Boogie Nights,Boogie-Nights,"Oct 10, 1997",15000000,26410771,43111725
530,The Big Lebowski,"Big-Lebowski,-The","Mar 6, 1998",15000000,17498804,46189568
531,The Hurt Locker,"Hurt-Locker,-The","Jun 26, 2009",15000000,17017811,49894223
532,Confidence,Confidence,"Apr 25, 2003",15000000,12212417,12212417
533,Black Snake Moan,Black-Snake-Moan,"Mar 2, 2007",15000000,9396870,10951153
534,Mulholland Drive,Mulholland-Drive,"Oct 8, 2001",15000000,7219578,20785973
535,Groundhog Day,Groundhog-Day,"Feb 12, 1993",14600000,70906973,70906973
536,Pretty Woman,Pretty-Woman,"Mar 23, 1990",14000000,178406268,432645872
537,Slumdog Millionaire,Slumdog-Millionaire,"Nov 12, 2008",14000000,141330703,384530440
538,The Iron Lady,"Iron-Lady,-The","Jan 13, 2012",14000000,29959436,115592104
539,Jason X,Jason-X,"Apr 26, 2002",14000000,13121555,16951798
540,Margaret,Margaret,"Sep 30, 2011",14000000,47185,623292
541,Black Swan,Black-Swan,"Dec 3, 2010",13000000,106954678,331266710
542,Save the Last Dance,Save-the-Last-Dance,"Jan 12, 2001",13000000,91038276,122244329
543,The Butterfly Effect,"Butterfly-Effect,-The","Jan 23, 2004",13000000,57924679,95638592
544,10 Things I Hate About You,10-Things-I-Hate-About-You,"Mar 31, 1999",13000000,38177966,60413950
545,Ex Machina,Ex-Machina,"Apr 10, 2015",13000000,25440971,38358392
546,Being John Malkovich,Being-John-Malkovich,"Oct 29, 1999",13000000,22858926,32382381
547,The Perks of Being a Wallflower,"Perks-of-Being-a-Wallflower,-The","Sep 21, 2012",13000000,17742948,33069303
548,Room,Room,"Oct 16, 2015",13000000,14677674,36262783
549,Serial Mom,Serial-Mom,"Apr 13, 1994",13000000,7881335,7881335
550,Birthday Girl,Birthday-Girl,"Feb 1, 2002",13000000,4919896,8130727
551,Machete,Machete,"Sep 3, 2010",12500000,26593646,46370970
552,True Romance,True-Romance,"Sep 10, 1993",12500000,12281000,12309980
553,Jaws,Jaws,"Jun 20, 1975",12000000,260000000,470700000
554,The Fault in Our Stars,"Fault-in-Our-Stars,-The","Jun 6, 2014",12000000,124872350,307166834
555,American Pie,American-Pie,"Jul 9, 1999",12000000,101800948,234723148
556,Star Trek II: The Wrath of Khan,Star-Trek-II-The-Wrath-of-Khan,"Jun 4, 1982",12000000,78912963,95800000
557,Barbershop,Barbershop,"Sep 13, 2002",12000000,75781642,77063461
558,Witness,Witness,"Feb 8, 1985",12000000,65532576,65532576
559,Chronicle,Chronicle,"Feb 3, 2012",12000000,64575175,123681790
560,Jackie Brown,Jackie-Brown,"Dec 25, 1997",12000000,39673162,74727492
561,Crank,Crank,"Sep 1, 2006",12000000,27838408,43924923
562,Stir of Echoes,Stir-of-Echoes,"Sep 10, 1999",12000000,21133087,21133087
563,Rachel Getting Married,Rachel-Getting-Married,"Oct 3, 2008",12000000,12796861,17475475
564,Arbitrage,Arbitrage,"Sep 14, 2012",12000000,7919574,35830713
565,Pet Sematary,Pet-Sematary,"Apr 21, 1989",11500000,57469179,57469179
566,Gremlins,Gremlins,"Jun 8, 1984",11000000,148168459,148199515
567,The Fighter,"Fighter,-The","Dec 10, 2010",11000000,93617009,129262388
568,Major League,Major-League,"Apr 7, 1989",11000000,49793054,49793054
569,Phone Booth,Phone-Booth,"Apr 4, 2003",11000000,46566212,97837138
570,Cruel Intentions,Cruel-Intentions,"Mar 5, 1999",11000000,38230075,75803716
571,Barry Lyndon,Barry-Lyndon,"Jan 1, 1975",11000000,20000000,20169934
572,Army of Darkness,Army-of-Darkness,"Feb 19, 1993",11000000,11502976,21502976
573,Alien,Alien,"May 25, 1979",10700000,80930630,203630630
574,2001: A Space Odyssey,2001-A-Space-Odyssey,"Apr 2, 1968",10500000,59936321,71928046
575,Good Will Hunting,Good-Will-Hunting,"Dec 5, 1997",10000000,138433435,225925989
576,The Grudge,"Grudge,-The","Oct 22, 2004",10000000,110359362,187281115
577,The Best Exotic Marigold Hotel,"Best-Exotic-Marigold-Hotel,-The","May 4, 2012",10000000,46383639,134639780
578,St. Elmo's Fire,St.-Elmo's-Fire,"Jun 28, 1985",10000000,37800000,37800000
579,Commando,Commando,"Oct 4, 1985",10000000,35073978,35073978
580,Dogma,Dogma,"Nov 12, 1999",10000000,30651422,43948865
581,Snatch,Snatch,"Dec 8, 2000",10000000,30093107,83593107
582,Mud,Mud,"Apr 26, 2013",10000000,21590086,31556959
583,My Week with Marilyn,My-Week-with-Marilyn,"Nov 23, 2011",10000000,14597405,34240572
584,Big Eyes,Big-Eyes,"Dec 25, 2014",10000000,14482031,27317872
585,Office Space,Office-Space,"Feb 19, 1999",10000000,10827813,12179708
586,Drop Dead Gorgeous,Drop-Dead-Gorgeous,"Jul 23, 1999",10000000,10571408,10571408
587,Very Bad Things,Very-Bad-Things,"Nov 25, 1998",10000000,9949470,21094974
588,Cedar Rapids,Cedar-Rapids,"Feb 11, 2011",10000000,6861102,7862131
589,American History X,American-History-X,"Oct 30, 1998",10000000,6719864,6719864
590,Crash,Crash,"Oct 4, 1996",10000000,3357324,3357324
591,The Limey,"Limey,-The","Oct 8, 1999",10000000,3193102,6030047
592,Bamboozled,Bamboozled,"Oct 6, 2000",10000000,2185266,2373937
593,Cecil B. Demented,Cecil-B.-Demented,"Aug 11, 2000",10000000,1276984,1953882
594,Coriolanus,Coriolanus,"Jan 20, 2012",10000000,749641,2179623
595,Amour,Amour,"Dec 19, 2012",9700000,6738954,36787044
596,Next Friday,Next-Friday,"Jan 12, 2000",9500000,57176582,59675307
597,Election,Election,"Apr 23, 1999",8500000,14943582,17202854
598,Pulp Fiction,Pulp-Fiction,"Oct 14, 1994",8000000,107928762,212928762
599,Easy A,Easy-A,"Sep 17, 2010",8000000,58401464,76200721
600,American Psycho,American-Psycho,"Apr 14, 2000",8000000,15070285,34270285
601,The Good Girl,"Good-Girl,-The","Aug 7, 2002",8000000,14018296,16585503
602,An Education,An-Education,"Oct 9, 2009",7500000,12574914,29652736
603,Extract,Extract,"Sep 4, 2009",7500000,10823158,10849158
604,Juno,Juno,"Dec 5, 2007",7000000,143495265,231450102
605,The Piano,"Piano,-The","Nov 12, 1993",7000000,40157856,40168957
606,Capote,Capote,"Sep 30, 2005",7000000,28750530,49924079
607,Logan's Run,Logan's-Run,"Jan 1, 1976",7000000,25000000,25000000
608,Fargo,Fargo,"Mar 8, 1996",7000000,24567751,51204567
609,Silver Bullet,Silver-Bullet,"Oct 11, 1985",7000000,10803211,10803211
610,A Serious Man,A-Serious-Man,"Oct 2, 2009",7000000,9228788,30360570
611,Get Low,Get-Low,"Jul 30, 2010",7000000,9176933,10828305
612,Hesher,Hesher,"May 13, 2011",7000000,382946,382946
613,The Boondock Saints,"Boondock-Saints,-The","Jan 21, 2000",7000000,30471,411874
614,Shame,Shame,"Dec 2, 2011",6500000,4002293,20412841
615,The Damned United,"Damned-United,-The","Oct 9, 2009",6400000,449865,4199874
616,Ordinary People,Ordinary-People,"Sep 19, 1980",6000000,52302978,52302978
617,The Wrestler,"Wrestler,-The","Dec 17, 2008",6000000,26238243,46634275
618,The Wild Bunch,"Wild-Bunch,-The","Jun 18, 1969",6000000,509424,509424
619,The Sting,"Sting,-The","Dec 25, 1973",5500000,159616327,159616327
620,Ghost World,Ghost-World,"Jul 20, 2001",5500000,6217849,8761608
621,Grabbers,Grabbers,"Jul 19, 2013",5300000,0,440821
622,Get Out,Get-Out,"Feb 24, 2017",5000000,176040665,255367951
623,The Big Sick,"Big-Sick,-The","Jun 23, 2017",5000000,42872467,53972860
624,Dallas Buyers Club,Dallas-Buyers-Club,"Nov 1, 2013",5000000,27298285,60611845
625,The Elephant Man,"Elephant-Man,-The","Oct 3, 1980",5000000,26010864,26010864
626,Memento,Memento,"Mar 16, 2001",5000000,25544867,39723096
627,Friday the 13th Part VIII: Jason Takes Manhattan,Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,"Jul 28, 1989",5000000,14343976,14343976
628,Lone Star,Lone-Star,"Jun 21, 1996",5000000,12961389,12961389
629,April Fool's Day,April-Fool's-Day,"Mar 27, 1986",5000000,12947763,12947763
630,Diner,Diner,"Apr 2, 1982",5000000,12592907,12592907
